tipo,nombre,precio,localización,detalles,vendedor,fecha de publicación,link
Alquiler,Casa en alquiler en Nayon - Tanda,$ 2.650,Nayon - Tanda/Valle Tumbaco/Quito/Pichincha,5 habitaciones/5 baños/500 m²,InmoMemories,16/01/2023,https://www.properati.com.ec/detalle/gzyq_alquiler_casa_nayon-tanda_gimnasio_jardin_patio_bodega_terraza_areas-verdes_walk-in-closet_ventanales_cocina_comedor_bacbr-inmomemories
Alquiler,Casa en alquiler en Daule,$ 580,Daule/Guayas,2 habitaciones/2 baños/220 m²,BIENES RAÍCES FLORES,16/01/2023,https://www.properati.com.ec/detalle/h02v_alquiler_casa_daule_patio_aire-acondicionado_cocina_comedor_aquiles-alejandro-flores
Alquiler,Casa en alquiler en Conocoto,$ 740,Conocoto/Valle Los Chillos/Quito/Pichincha,3 habitaciones/2 baños/182 m²,Estefania Cela Bienes Raíces,06/01/2023,https://www.properati.com.ec/detalle/gy05_alquiler_casa_santa-lucia_patio_ventanales_cocina_comedor_estefania-cela
Alquiler,Casa en alquiler en Guayaquil,$ 999,Guayaquil/Guayas,4 habitaciones/3 baños/200 m²,Planeta Inmobiliario,14/01/2023,https://www.properati.com.ec/detalle/gzv2_alquiler_casa_guayaquil_patio_bodega_garaje_cocina_planeta-inmobiliario
Alquiler,Casa en alquiler en Cumbaya,$ 1.500,Cumbaya/Valle Tumbaco/Quito/Pichincha,3 habitaciones/2 baños/318 m²,Innova Real State,16/01/2023,https://www.properati.com.ec/detalle/gzz1_alquiler_casa_cumbaya_patio_bodega_terraza_balcon_innova-real-state_opk4
Alquiler,Casa en alquiler en Tumbaco,$ 2.500,Tumbaco/Valle Tumbaco/Quito/Pichincha,4 habitaciones/5 baños/319 m²,Innova Real State,16/01/2023,https://www.properati.com.ec/detalle/gzyx_alquiler_casa_tumbaco_jardin_bodega_garaje_walk-in-closet_cocina_comedor_innova-real-state_opk4
Alquiler,Casa en alquiler en Cumbaya,$ 1.500,Cumbaya/Valle Tumbaco/Quito/Pichincha,3 habitaciones/2 baños/279 m²,Innova Real State,17/01/2023,https://www.properati.com.ec/detalle/h05a_alquiler_casa_cumbaya_patio_bodega_terraza_balcon_innova-real-state_opk4
Alquiler,Casa en alquiler en Cumbaya,$ 6.000,Cumbaya/Valle Tumbaco/Quito/Pichincha,4 habitaciones/5 baños/656 m²,Innova Real State,20/01/2023,https://www.properati.com.ec/detalle/h1cn_alquiler_casa_cumbaya_ciclovias-de-quito_amoblados_gimnasio_jacuzzi_bodega_balcon_areas-verdes_piscina_cocina_comedor_innova-real-state_opk4
Alquiler,Casa en alquiler en Rumipamba,$ 1.800,Rumipamba/Centro Norte/Quito/Pichincha,5 habitaciones/3 baños/230 m²,AC Real Estate Inmobiliaria,06/01/2023,https://www.properati.com.ec/detalle/gy23_alquiler_casa_rumipamba_gimnasio_patio_bodega_balcon_cocina_bacbr-ac-real-estate-inmobiliaria
Alquiler,Casa en alquiler en Cochapamba,$ 1.100,Cochapamba/Centro Norte/Quito/Pichincha,6 habitaciones/3 baños/364 m²,BACBR- MGV Servicios Inmobiliarios,15/01/2023,https://www.properati.com.ec/detalle/gzwl_alquiler_casa_cochapamba_jardin_bodega_terraza_balcon_cocina_comedor_bacbr-mgv-servicios-inmobiliarios
Alquiler,Casa en alquiler en Calderón,$ 250,Calderón/Norte De Quito/Quito/Pichincha,3 habitaciones/1 baño/90 m²,Bienes Raices ProMon,10/01/2023,https://www.properati.com.ec/detalle/gz0e_alquiler_casa_calderon_jardin_cocina_comedor_bienes-raices-promon
Alquiler,Casa en alquiler en San Isidro del Inca,$ 500,San Isidro del Inca/Centro Norte/Quito/Pichincha,3 habitaciones/2 baños/140 m²,Eduardo Guerrero,09/01/2023,https://www.properati.com.ec/detalle/gysl_alquiler_casa_san-isidro-del-inca_patio_terraza_balcon_areas-verdes_cocina_comedor_eduardo-guerrero_opk6
Alquiler,Casa en alquiler en San Jacinto De Yaguachi,$ 480,San Jacinto De Yaguachi/Guayas,3 habitaciones/2 baños/105 m²,BIENES RAICES LMSA,11/01/2023,https://www.properati.com.ec/detalle/gz28_alquiler_casa_san-jacinto-de-yaguachi_gimnasio_patio_bodega_piscina_walk-in-closet_cocina_comedor_bienes-raices-lmsa_ope1
Alquiler,Casa en alquiler en Conocoto,$ 460,Conocoto/Valle Los Chillos/Quito/Pichincha,3 habitaciones/3 baños/170 m²,CENTURY 21 Elite,18/01/2023,https://www.properati.com.ec/detalle/h0d3_alquiler_casa_conocoto_patio_areas-verdes_piscina_cocina_comedor_jadyra-corella
Alquiler,Casa en alquiler en Tumbaco,$ 2.400,Tumbaco/Valle Tumbaco/Quito/Pichincha,4 habitaciones/4 baños/580 m²,CENTURY 21 Elite,18/01/2023,https://www.properati.com.ec/detalle/h0cw_alquiler_casa_tumbaco_jacuzzi_bodega_terraza_walk-in-closet_cocina_comedor_jadyra-corella
Alquiler,Casa en alquiler en Daule,$ 350,Daule/Guayas,3 habitaciones/3 baños/100 m²,Campuscorp,30/12/2022,https://www.properati.com.ec/detalle/gxcp_alquiler_casa_daule_amoblados_patio_ventanales_cocina_comedor_campuscorp
Alquiler,Casa en alquiler en Cumbaya,$ 1.000,Cumbaya/Valle Tumbaco/Quito/Pichincha,3 habitaciones/2 baños/190 m²,Yadira Aguirre - To Do Bienes Raíces Servicios Inmobiliarios y Soluciones de Inversión,18/01/2023,https://www.properati.com.ec/detalle/h0d5_alquiler_casa_cumbaya_patio_asesor-to-do-bienes-raices_oq5c
Alquiler,Casa en alquiler en Centro De Guayaquil,$ 390,Centro De Guayaquil/Guayaquil/Guayas,2 habitaciones/2 baños/100 m²,Century 21 Smart,18/01/2023,https://www.properati.com.ec/detalle/h0cx_alquiler_casa_centro-de-guayaquil_patio_garaje_cocina_comedor_century-21-smart_opk2
Alquiler,Casa en alquiler en Cumbaya,$ 900,Cumbaya/Valle Tumbaco/Quito/Pichincha,3 habitaciones/3 baños/170 m²,Yadira Aguirre - To Do Bienes Raíces Servicios Inmobiliarios y Soluciones de Inversión,11/01/2023,https://www.properati.com.ec/detalle/gz2t_alquiler_casa_cumbaya_comedor_asesor-to-do-bienes-raices_oq5c
