tipo,nombre,precio,localización,habitaciones,baños,area,vendedor,fecha de publicación,link
Venta,Casa en venta en Machala,$ 230.000,Machala/El Oro,4 habitaciones,4 baños,195 m²,Guillermo Buendia ,23/12/2022,https://www.properati.com.ec/detalle/gwyw_venta_casa_machala_patio_garaje_cocina_comedor_guillermo-buendia
Venta,Casa en venta en Norte De Guayaquil,$ 805.000,Norte De Guayaquil/Guayaquil/Guayas,9 habitaciones,9 baños,1900 m²,Guillermo Buendia ,23/12/2022,https://www.properati.com.ec/detalle/gwz3_venta_casa_norte-de-guayaquil_gimnasio_patio_terraza_balcon_piscina_garaje_comedor_guillermo-buendia
Venta,Casa en venta en Via A La Costa,$ 430.000,Via A La Costa/Guayaquil/Guayas,3 habitaciones,4 baños,482 m²,Real Estate Consulting,12/01/2023,https://www.properati.com.ec/detalle/gzmo_venta_casa_via-a-la-costa_gimnasio_jacuzzi_jardin_patio_piscina_cocina_comedor_real-estate-consulting
Venta,Casa en venta en La Troncal,$ 147.500,La Troncal/Cañar,3 habitaciones,2 baños,650 m²,Achik Pakary Bienes Raíces,20/01/2023,https://www.properati.com.ec/detalle/h1ic_venta_casa_la-troncal_achik-pakary-bienes-raices
Venta,Casa en venta en El Tambo,$ 139.900,El Tambo/Cañar,3 habitaciones,3 baños,200 m²,Achik Pakary Bienes Raíces,10/01/2023,https://www.properati.com.ec/detalle/gyz2_venta_casa_el-tambo_patio_balcon_garaje_cocina_comedor_achik-pakary-bienes-raices
Venta,Casa en venta en Chilibulo,$ 250.000,Chilibulo/Sur De Quito/Quito/Pichincha,3 habitaciones,2 baños,723 m²,SOINMCO,13/12/2022,https://www.properati.com.ec/detalle/gvdb_venta_casa_chilibulo_patio_terraza_cocina_comedor_soinmco
Venta,Casa en venta en Guayaquil,$ 116.000,Guayaquil/Guayas,3 habitaciones,3 baños,103 m²,CBR.  MIGUEL ANGEL RAMIREZ JORDAN,02/12/2022,https://www.properati.com.ec/detalle/guc1_venta_casa_guayaquil_patio_aire-acondicionado_areas-verdes_piscina_cocina_comedor_cbr-miguel-angel-ramirez-jordan_opg1
Venta,Casa en venta en La Armenia I,$ 110.000,La Armenia I/Conocoto/Valle Los Chillos/Quito/Pichincha,3 habitaciones,3 baños,205 m²,RIALTI COMERCIAL,30/12/2022,https://www.properati.com.ec/detalle/gxcu_venta_casa_la-armenia-i_patio_bodega_balcon_walk-in-closet_cocina_comedor_rialti-s-a-s
Venta,Casa en venta en Nayón,$ 398.000,Nayón/Valle Tumbaco/Quito/Pichincha,3 habitaciones,3 baños,270 m²,InmoMemories,11/01/2023,https://www.properati.com.ec/detalle/gz1l_venta_casa_nayon_amoblados_jardin_walk-in-closet_ventanales_cocina_comedor_bacbr-inmomemories
Venta,Casa en venta en Nayón,$ 359.000,Nayón/Valle Tumbaco/Quito/Pichincha,3 habitaciones,4 baños,360 m²,BACBR- InmoMemories,11/01/2023,https://www.properati.com.ec/detalle/gz1i_venta_casa_nayon_jardin_bodega_walk-in-closet_ventanales_cocina_comedor_bacbr-inmomemories
Venta,Casa en venta en Monteserrin,$ 129.000,Monteserrin/Jipijapa/Centro Norte/Quito/Pichincha,5 habitaciones,4 baños,280 m²,AC Real Estate Inmobiliaria,09/01/2023,https://www.properati.com.ec/detalle/gyr7_venta_casa_monteserrin_patio_terraza_cocina_comedor_bacbr-ac-real-estate-inmobiliaria
Venta,Casa en venta en San Isidro del Inca,$ 160.000,San Isidro del Inca/Centro Norte/Quito/Pichincha,3 habitaciones,2 baños,198 m²,AC Real Estate Inmobiliaria,09/01/2023,https://www.properati.com.ec/detalle/gyra_venta_casa_san-isidro-del-inca_jardin_patio_bodega_balcon_area-bbq_walk-in-closet_cocina_comedor_bacbr-ac-real-estate-inmobiliaria
Venta,Casa en venta en La Mena,$ 105.000,La Mena/Sur De Quito/Quito/Pichincha,7 habitaciones,6 baños,432 m²,AC Real Estate Inmobiliaria,09/01/2023,https://www.properati.com.ec/detalle/gyr0_venta_casa_la-mena_bodega_terraza_cocina_comedor_bacbr-ac-real-estate-inmobiliaria
Venta,Casa en venta en Pomasqui,$ 60.000,Pomasqui/Norte De Quito/Quito/Pichincha,3 habitaciones,2 baños,160 m²,CBR- Elizabeth Martínez ,09/01/2023,https://www.properati.com.ec/detalle/gyty_venta_casa_pomasqui_patio_terraza_cocina_comedor_bacbr-elizabeth-martinez
Venta,Casa en venta en Calderón,$ 70.000,Calderón/Norte De Quito/Quito/Pichincha,4 habitaciones,2 baños,120 m²,AC Real Estate Inmobiliaria,09/01/2023,https://www.properati.com.ec/detalle/gyso_venta_casa_calderon_jacuzzi_patio_terraza_area-bbq_cocina_comedor_bacbr-ac-real-estate-inmobiliaria
Venta,Casa en venta en Comité del Pueblo,$ 85.000,Comité del Pueblo/Centro Norte/Quito/Pichincha,3 habitaciones,3 baños,108 m²,CBR- Elizabeth Martínez ,10/01/2023,https://www.properati.com.ec/detalle/gyw5_venta_casa_comite-del-pueblo_patio_areas-verdes_cocina_comedor_bacbr-elizabeth-martinez
Venta,Casa en venta en Ponceano,$ 225.000,Ponceano/Norte De Quito/Quito/Pichincha,12 habitaciones,8 baños,480 m²,BROKER'S ASOCIADOS Corredores de Bienes Raíces,08/01/2023,https://www.properati.com.ec/detalle/gymy_venta_casa_kennedy_patio_bodega_garaje_cocina_comedor_broker-s-asociados-corredores-de-bienes-raices
Venta,Casa en venta en Rumiñahui,$ 320.000,Rumiñahui/Pichincha,11 habitaciones,12 baños,430 m²,BROKER'S ASOCIADOS Corredores de Bienes Raíces,08/01/2023,https://www.properati.com.ec/detalle/gymh_venta_casa_puengasi_jardin_garaje_cocina_comedor_broker-s-asociados-corredores-de-bienes-raices
Venta,Casa en venta en Rumipamba,$ 240.000,Rumipamba/Centro Norte/Quito/Pichincha,4 habitaciones,3 baños,294 m²,BROKER'S ASOCIADOS Corredores de Bienes Raíces,08/01/2023,https://www.properati.com.ec/detalle/gymg_venta_casa_rumipamba_jacuzzi_terraza_garaje_cocina_broker-s-asociados-corredores-de-bienes-raices
Venta,Casa en venta en El Quinche,$ 480.000,El Quinche/Valle Tumbaco/Quito/Pichincha,3 habitaciones,3 baños,400 m²,BROKER'S ASOCIADOS Corredores de Bienes Raíces,08/01/2023,https://www.properati.com.ec/detalle/gymq_venta_casa_el-quinche_broker-s-asociados-corredores-de-bienes-raices
Venta,Casa en venta en Ponceano,$ 165.000,Ponceano/Norte De Quito/Quito/Pichincha,3 habitaciones,4 baños,218 m²,BACBR- Asesores Inmobiliarios,10/01/2023,https://www.properati.com.ec/detalle/gz08_venta_casa_ponceano_patio_terraza_balcon_cocina_comedor_bacbr-asesores-inmobiliarios
Venta,Casa en venta en Ponceano,$ 89.000,Ponceano/Norte De Quito/Quito/Pichincha,3 habitaciones,2 baños,200 m²,InmoMemories,12/01/2023,https://www.properati.com.ec/detalle/gzeb_venta_casa_ponceano_patio_bodega_terraza_cocina_comedor_bacbr-inmomemories
Venta,Casa en venta en Mariscal Sucre,$ 875.000,Mariscal Sucre/Centro Norte/Quito/Pichincha,8 habitaciones,4 baños,608 m²,BROKER'S ASOCIADOS Corredores de Bienes Raíces,14/01/2023,https://www.properati.com.ec/detalle/gzvn_venta_casa_mariscal-sucre_ciclovias-de-quito_bodega_terraza_cocina_broker-s-asociados-corredores-de-bienes-raices
Venta,Casa en venta en Guayllabamba,$ 209.000,Guayllabamba/Norte De Quito/Quito/Pichincha,3 habitaciones,2 baños,200 m²,BACBR - Inmocasaya!,14/01/2023,https://www.properati.com.ec/detalle/gzw1_venta_casa_guayllabamba_amoblados_jardin_cocina_comedor_bacbr-inmocasaya
Venta,Casa en venta en Cumbaya,$ 750.000,Cumbaya/Valle Tumbaco/Quito/Pichincha,4 habitaciones,4 baños,500 m²,BROKER'S ASOCIADOS Corredores de Bienes Raíces,15/01/2023,https://www.properati.com.ec/detalle/gzw8_venta_casa_cumbaya_bodega_garaje_comedor_broker-s-asociados-corredores-de-bienes-raices
Venta,Casa en venta en Carcelen,$ 270.000,Carcelen/Norte De Quito/Quito/Pichincha,12 habitaciones,7 baños,444 m²,BACBR- MGV Servicios Inmobiliarios,15/01/2023,https://www.properati.com.ec/detalle/gzxy_venta_casa_carcelen_jardin_terraza_comedor_bacbr-mgv-servicios-inmobiliarios
Venta,Casa en venta en Carcelen,$ 110.000,Carcelen/Norte De Quito/Quito/Pichincha,3 habitaciones,3 baños,196 m²,BACBR- MGV Servicios Inmobiliarios,15/01/2023,https://www.properati.com.ec/detalle/gzx1_venta_casa_carcelen_gimnasio_jacuzzi_areas-verdes_cocina_comedor_bacbr-mgv-servicios-inmobiliarios
Venta,Casa en venta en Monteserrin,$ 800.000,Monteserrin/Jipijapa/Centro Norte/Quito/Pichincha,7 habitaciones,5 baños,630 m²,DCG ASESORIA INMOBILIARIA . CBR- Deneff Carranza García,12/01/2023,https://www.properati.com.ec/detalle/gzia_venta_casa_monteserrin_bodega_areas-verdes_garaje_cocina_comedor_bacbr-deneff-carranza-garcia
Venta,Casa en venta en Calderón,$ 60.000,Calderón/Norte De Quito/Quito/Pichincha,4 habitaciones,3 baños,95 m²,DCG ASESORIA INMOBILIARIA . CBR- Deneff Carranza García,15/01/2023,https://www.properati.com.ec/detalle/gzxa_venta_casa_calderon_cocina_comedor_bacbr-deneff-carranza-garcia
Venta,Casa en venta en Tumbaco,$ 305.000,Tumbaco/Valle Tumbaco/Quito/Pichincha,4 habitaciones,4 baños,366 m²,InmoMemories,16/01/2023,https://www.properati.com.ec/detalle/gzz8_venta_casa_tumbaco_jardin_bodega_terraza_walk-in-closet_cocina_comedor_bacbr-inmomemories
Venta,Casa en venta en Nayón,$ 490.000,Nayón/Valle Tumbaco/Quito/Pichincha,4 habitaciones,3 baños,336 m²,InmoMemories,16/01/2023,https://www.properati.com.ec/detalle/gzz9_venta_casa_nayon_gimnasio_jardin_bodega_walk-in-closet_ventanales_cocina_comedor_bacbr-inmomemories
Venta,Casa en venta en Tumbaco,$ 195.000,Tumbaco/Valle Tumbaco/Quito/Pichincha,3 habitaciones,3 baños,195 m²,InmoMemories,16/01/2023,https://www.properati.com.ec/detalle/gzzf_venta_casa_tumbaco_jardin_bodega_terraza_areas-verdes_walk-in-closet_cocina_comedor_bacbr-inmomemories
Venta,Casa en venta en Rumiñahui,$ 290.000,Rumiñahui/Pichincha,4 habitaciones,4 baños,275 m²,BACBR - Inmocasaya!,18/01/2023,https://www.properati.com.ec/detalle/h12y_venta_casa_ruminahui_areas-verdes_piscina_cocina_comedor_bacbr-inmocasaya
Venta,Casa en venta en Manta,$ 110.000,Manta/Manabi,3 habitaciones,4 baños,220 m²,LUQUIMA CBR Luis Quiñonez Mato,19/01/2023,https://www.properati.com.ec/detalle/h14t_venta_casa_manta_jardin_garaje_luquima-cbr-luis-quinonez-mato
Venta,Casa en venta en Quitumbe,$ 54.500,Quitumbe/Sur De Quito/Quito/Pichincha,3 habitaciones,3 baños,90 m²,ZENDO INMOBILIARIA,18/01/2023,https://www.properati.com.ec/detalle/h13g_venta_casa_quitumbe_patio_balcon_comedor_bacbr-royal-inmobiliaria
Venta,Casa en venta en Pomasqui,$ 280.000,Pomasqui/Norte De Quito/Quito/Pichincha,6 habitaciones,6 baños,500 m²,BACBR- InmoMemories Landazuri,11/01/2023,https://www.properati.com.ec/detalle/gz63_venta_casa_pomasqui_jardin_bodega_bacbr-inmomemories-landazuri
Venta,Casa en venta en Quito,$ 110.000,Quito/Pichincha,4 habitaciones,3 baños,190 m²,ZENDO INMOBILIARIA,19/01/2023,https://www.properati.com.ec/detalle/h17y_venta_casa_quito_patio_bacbr-royal-inmobiliaria
Venta,Casa en venta en Tumbaco,$ 900.000,Tumbaco/Valle Tumbaco/Quito/Pichincha,5 habitaciones,6 baños,1250 m²,BACBR- InmoMemories Landazuri,19/01/2023,https://www.properati.com.ec/detalle/h16d_venta_casa_tumbaco_jardin_bodega_piscina_comedor_bacbr-inmomemories-landazuri
Venta,Casa en venta en Kennedy,$ 215.000,Kennedy/Centro Norte/Quito/Pichincha,3 habitaciones,2 baños,212 m²,BROKER'S ASOCIADOS Corredores de Bienes Raíces,08/01/2023,https://www.properati.com.ec/detalle/gyn0_venta_casa_kennedy_patio_balcon_broker-s-asociados-corredores-de-bienes-raices
Venta,Casa en venta en Calderón,$ 650.000,Calderón/Norte De Quito/Quito/Pichincha,6 habitaciones,5 baños,480 m²,BROKER'S ASOCIADOS Corredores de Bienes Raíces,08/01/2023,https://www.properati.com.ec/detalle/gyn4_venta_casa_calderon_jardin_patio_broker-s-asociados-corredores-de-bienes-raices
Venta,Casa en venta en San Juan,$ 1.270.000,San Juan/Centro Colonial/Quito/Pichincha,4 habitaciones,5 baños,935 m²,BROKER'S ASOCIADOS Corredores de Bienes Raíces,08/01/2023,https://www.properati.com.ec/detalle/gymk_venta_casa_san-juan_jardin_patio_bodega_terraza_balcon_walk-in-closet_cocina_comedor_broker-s-asociados-corredores-de-bienes-raices
Venta,Casa en venta en Ponceano,$ 110.000,Ponceano/Norte De Quito/Quito/Pichincha,4 habitaciones,2 baños,128 m²,BROKER'S ASOCIADOS Corredores de Bienes Raíces,08/01/2023,https://www.properati.com.ec/detalle/gymz_venta_casa_ponceano_areas-verdes_cocina_comedor_broker-s-asociados-corredores-de-bienes-raices
